Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_data[28:0],tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/matching_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/readout_fifo_full,tdc_decoder_top_inst/inst_event_builder_triggerless/event_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/event_data_ready,tdc_decoder_top_inst/inst_event_builder_triggerless/building_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/hit_count[9:0],tdc_decoder_top_inst/inst_event_builder_triggerless/state[5:0],tdc_decoder_top_inst/inst_event_builder_triggerless/nextstate[5:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
59,59,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
60,60,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
61,61,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
62,62,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
63,63,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
64,64,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
65,65,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
66,66,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
67,67,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
68,68,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
69,69,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
70,70,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
71,71,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
72,72,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
73,73,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
74,74,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
75,75,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
76,76,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
77,77,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
78,78,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
79,79,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
80,80,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
81,81,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
82,82,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
83,83,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
84,84,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
85,85,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
86,86,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
87,87,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
88,88,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
89,89,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
90,90,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
91,91,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
92,92,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
93,93,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
94,94,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
95,95,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
96,96,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
97,97,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
98,98,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
99,99,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
100,100,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
101,101,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
102,102,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
103,103,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
104,104,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
105,105,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
106,106,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
107,107,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
108,108,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
109,109,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
110,110,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
111,111,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
112,112,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
113,113,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
114,114,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
115,115,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
116,116,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
117,117,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
118,118,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
119,119,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
120,120,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
121,121,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
122,122,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
123,123,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
