tdc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0,519.233,0.0382944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0.0382944,0,0,0,0,0,0.0382944,0,0,0,0,0,0,0,0,0,0,0,0.0382944,0,0,0,
2,0.268061,0,0.229766,0,0,0,0,0,0,0.0382944,0,0,0.0765887,0.0765887,0,0,0,0,0,0,0,0,0.0765887,0,
3,519.272,0,0,0,0,0,0,0,0.0382944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0.61271,0.191472,0.0765887,0.0765887,0,0,0,0,0,0,0,0,0,0,0.0382944,0.0382944,0.0765887,0.0382944,0,0.0382944,0.0382944,0,0.0382944,0,
5,14.6284,0,0,517.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
