Sample in Buffer,Sample in Window,TRIGGER,num_active_ports_1[4:0],sa_done_1,lock_OBUF_1,active_chains_1[17:0],JTAG_busy,tdi_tdo_equal_1,chain_success_1[5:0],elink_ttc_org,tdo_IBUF[17:0],tdi_OBUF[17:0],tck_OBUF[17:0],tms_OBUF[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
326,326,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
327,327,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
328,328,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
329,329,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
330,330,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
331,331,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
332,332,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
333,333,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
334,334,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
335,335,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
336,336,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
337,337,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
338,338,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
339,339,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
340,340,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
341,341,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
342,342,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
343,343,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
344,344,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
345,345,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
346,346,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
347,347,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
348,348,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
349,349,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
350,350,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
351,351,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
352,352,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
353,353,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
354,354,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
355,355,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
356,356,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
357,357,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
358,358,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
359,359,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
360,360,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
361,361,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
362,362,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
363,363,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
364,364,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
365,365,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
366,366,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
367,367,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
368,368,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
369,369,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
370,370,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
371,371,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
372,372,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
373,373,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
374,374,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
375,375,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
376,376,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
377,377,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
378,378,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
379,379,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
380,380,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
381,381,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
382,382,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
383,383,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
384,384,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
385,385,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
386,386,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
387,387,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
388,388,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
389,389,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
390,390,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
391,391,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
392,392,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
393,393,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
394,394,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
395,395,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
396,396,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
397,397,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
398,398,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
399,399,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
400,400,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
401,401,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
402,402,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
403,403,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
404,404,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
405,405,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
406,406,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
407,407,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
408,408,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
409,409,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
410,410,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
411,411,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
412,412,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
413,413,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
414,414,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
415,415,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
416,416,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
417,417,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
418,418,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
419,419,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
420,420,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
421,421,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
422,422,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
423,423,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
424,424,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
425,425,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
426,426,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
427,427,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
428,428,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
429,429,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
430,430,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
431,431,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
432,432,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
433,433,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
434,434,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
435,435,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
436,436,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
437,437,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
438,438,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
439,439,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
440,440,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
441,441,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
442,442,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
443,443,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
444,444,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
445,445,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
446,446,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
447,447,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
448,448,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
449,449,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
450,450,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
451,451,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
452,452,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
453,453,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
454,454,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
455,455,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
456,456,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
457,457,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
458,458,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
459,459,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
460,460,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
461,461,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
462,462,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
463,463,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
464,464,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
465,465,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
466,466,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
467,467,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
468,468,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
469,469,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
470,470,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
471,471,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
472,472,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
473,473,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
474,474,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
475,475,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
476,476,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
477,477,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
478,478,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
479,479,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
480,480,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
481,481,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
482,482,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
483,483,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
484,484,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
485,485,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
486,486,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
487,487,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
488,488,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
489,489,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
490,490,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
491,491,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
492,492,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
493,493,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
494,494,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
495,495,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
496,496,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
497,497,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
498,498,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
499,499,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
500,500,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
501,501,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
502,502,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
503,503,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
504,504,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
505,505,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
506,506,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
507,507,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
508,508,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
509,509,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
510,510,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
511,511,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
512,512,1,02,1,1,00202,0,1,3f,1,032ab,00200,3ffff,3ffff
513,513,0,02,1,1,00202,0,1,3f,1,032ab,00200,3ffff,3ffff
514,514,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
515,515,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
516,516,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
517,517,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
518,518,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
519,519,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
520,520,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
521,521,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
522,522,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
523,523,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
524,524,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
525,525,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
526,526,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
527,527,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
528,528,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
529,529,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
530,530,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
531,531,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
532,532,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
533,533,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
534,534,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
535,535,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
536,536,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
537,537,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
538,538,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
539,539,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
540,540,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
541,541,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
542,542,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
543,543,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
544,544,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
545,545,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
546,546,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
547,547,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
548,548,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
549,549,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
550,550,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
551,551,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
552,552,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
553,553,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
554,554,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
555,555,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
556,556,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
557,557,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
558,558,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
559,559,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
560,560,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
561,561,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
562,562,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
563,563,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
564,564,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
565,565,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
566,566,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
567,567,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
568,568,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
569,569,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
570,570,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
571,571,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
572,572,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
573,573,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
574,574,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
575,575,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
576,576,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
577,577,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
578,578,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
579,579,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
580,580,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
581,581,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
582,582,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
583,583,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
584,584,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
585,585,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
586,586,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
587,587,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
588,588,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
589,589,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
590,590,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
591,591,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
592,592,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
593,593,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
594,594,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
595,595,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
596,596,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
597,597,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
598,598,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
599,599,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
600,600,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
601,601,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
602,602,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
603,603,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
604,604,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
605,605,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
606,606,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
607,607,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
608,608,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
609,609,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
610,610,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
611,611,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
612,612,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
613,613,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
614,614,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
615,615,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
616,616,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
617,617,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
618,618,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
619,619,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
620,620,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
621,621,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
622,622,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
623,623,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
624,624,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
625,625,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
626,626,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
627,627,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
628,628,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
629,629,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
630,630,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
631,631,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
632,632,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
633,633,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
634,634,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
635,635,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
636,636,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
637,637,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
638,638,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
639,639,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
640,640,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
641,641,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
642,642,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
643,643,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
644,644,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
645,645,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
646,646,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
647,647,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
648,648,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
649,649,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
650,650,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
651,651,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
652,652,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
653,653,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
654,654,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
655,655,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
656,656,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
657,657,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
658,658,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
659,659,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
660,660,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
661,661,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
662,662,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
663,663,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
664,664,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
665,665,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
666,666,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
667,667,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
668,668,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
669,669,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
