Sample in Buffer,Sample in Window,TRIGGER,num_active_ports_1[4:0],sa_done_1,lock_OBUF_1,active_chains_1[17:0],JTAG_busy,tdi_tdo_equal_1,chain_success_1[5:0],elink_ttc_org,tdo_IBUF[17:0],tdi_OBUF[17:0],tck_OBUF[17:0],tms_OBUF[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
74,74,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
75,75,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
76,76,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
77,77,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
78,78,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
79,79,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
80,80,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
81,81,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
82,82,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
83,83,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
84,84,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
85,85,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
86,86,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
87,87,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
88,88,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
89,89,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
90,90,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
91,91,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
92,92,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
93,93,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
94,94,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
95,95,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
96,96,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
97,97,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
98,98,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
99,99,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
100,100,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
101,101,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
102,102,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
103,103,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
104,104,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
105,105,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
106,106,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
107,107,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
108,108,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
109,109,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
110,110,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
111,111,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
112,112,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
113,113,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
114,114,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
115,115,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
116,116,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
117,117,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
118,118,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
119,119,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
120,120,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
121,121,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
122,122,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
123,123,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
124,124,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
125,125,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
126,126,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
127,127,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
128,128,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
129,129,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
130,130,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
131,131,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
132,132,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
133,133,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
134,134,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
135,135,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
136,136,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
137,137,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
138,138,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
139,139,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
140,140,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
141,141,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
142,142,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
143,143,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
144,144,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
145,145,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
146,146,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
147,147,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
148,148,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
149,149,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
150,150,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
151,151,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
152,152,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
153,153,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
154,154,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
155,155,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
156,156,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
157,157,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
158,158,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
159,159,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
160,160,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
161,161,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
162,162,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
163,163,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
164,164,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
165,165,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
166,166,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
167,167,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
168,168,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
169,169,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
170,170,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
171,171,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
172,172,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
173,173,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
174,174,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
175,175,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
176,176,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
177,177,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
178,178,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
179,179,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
180,180,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
181,181,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
182,182,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
183,183,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
184,184,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
185,185,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
186,186,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
187,187,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
188,188,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
189,189,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
190,190,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
191,191,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
192,192,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
193,193,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
194,194,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
195,195,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
196,196,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
197,197,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
198,198,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
199,199,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
200,200,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
201,201,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
202,202,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
203,203,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
204,204,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
205,205,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
206,206,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
207,207,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
208,208,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
209,209,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
210,210,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
211,211,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
212,212,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
213,213,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
214,214,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
215,215,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
216,216,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
217,217,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
218,218,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
219,219,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
220,220,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
221,221,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
222,222,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
223,223,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
224,224,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
225,225,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
226,226,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
227,227,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
228,228,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
229,229,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
230,230,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
231,231,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
232,232,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
233,233,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
234,234,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
235,235,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
236,236,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
237,237,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
238,238,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
239,239,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
240,240,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
241,241,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
242,242,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
243,243,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
244,244,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
245,245,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
246,246,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
247,247,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
248,248,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
249,249,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
250,250,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
251,251,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
252,252,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
253,253,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
254,254,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
255,255,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
