tdc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0,0.118401,0,0.0690672,191.987,0.0296002,0.00986675,0.00986675,0,0.00986675,0,0.00986675,0.00986675,0.00986675,0,0,0.00986675,0.00986675,0.0296002,0.0888007,0,0.039467,0,0.0197335,0,
1,0.0197335,0,0.0493337,0,0,0.00986675,0.00986675,0.00986675,0.00986675,0,0,0,0,0.00986675,0,0,0.00986675,0,0.0296002,0.0296002,0.0296002,0.00986675,0.039467,0.039467,
2,0.296002,0.0493337,0.197335,0,0.0197335,0,0.00986675,0.039467,0,0,0.0197335,0,0,0,0.0592005,0,0,0.0197335,0.00986675,0,0,0.0296002,0.039467,0,
3,0.039467,0,0.0493337,0,0,0.00986675,0.0296002,0.00986675,0.0197335,0,0.00986675,0.0296002,0.00986675,0,0.039467,0,0.0197335,0.0493337,0.00986675,0.0197335,0.0197335,0.0592005,0,0,
4,0.384803,0.236802,0.0888007,40.9963,0.0197335,0.0888007,0.00986675,0.00986675,0.00986675,0,0,0.00986675,0,0,0,0,0.00986675,0.00986675,0,0,0.0197335,0,0,0.00986675,
5,0.039467,0.00986675,0,0.0197335,0.00986675,0.00986675,0.00986675,0.0197335,0.00986675,0,0.0493337,0,0,0.00986675,0.039467,0,0.00986675,0.00986675,0.00986675,0.00986675,0.0296002,0.0690672,0.00986675,0,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
