tdc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0,0,0,0.0592751,500.459,0,0,0,0,0,0.0592751,0,0,0,0,0,0,0,0,0,0,0,0.0592751,0.0592751,0,
1,0,0,0.11855,0,0,0,0,0,0,0,0,0,0,0,0,0.0592751,0,0.0592751,0,0,0.0592751,0,0,0,
2,0.2371,0,0.177825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592751,0,0,0,0,
3,0.0592751,0,0.11855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592751,0,0,0.11855,0,0,0,
4,492.576,0,0.0592751,41.2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592751,0,0,0,0.11855,0,0,0,0.0592751,0.11855,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
