Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/inst_phase_select/tdc_dline_1[7:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/inst_phase_select/tdc_dline_0[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,7c,b2
1,1,0,1f,6c
2,2,0,07,9b
3,3,0,c1,26
4,4,0,f0,c9
5,5,0,7c,b2
6,6,0,1f,6c
7,7,0,07,9b
8,8,0,c1,26
9,9,0,f0,c9
10,10,0,7c,b2
11,11,0,1f,6c
12,12,0,07,9b
13,13,0,c1,26
14,14,0,f0,c9
15,15,0,7c,b2
16,16,0,1f,6c
17,17,0,07,9b
18,18,0,c1,26
19,19,0,f0,c9
20,20,0,7c,b2
21,21,0,1f,6c
22,22,0,07,9b
23,23,0,c1,26
24,24,0,f0,c9
25,25,0,7c,b2
26,26,0,1f,6c
27,27,0,07,9b
28,28,0,c1,26
29,29,0,f0,c9
30,30,0,7c,b2
31,31,0,1f,6c
32,32,0,07,9b
33,33,0,c1,26
34,34,0,f0,c9
35,35,0,7c,b2
36,36,0,1f,6c
37,37,0,07,9b
38,38,0,c1,26
39,39,0,f0,c9
40,40,0,7c,b2
41,41,0,1f,6c
42,42,0,07,9b
43,43,0,c1,26
44,44,0,f0,c9
45,45,0,7c,b2
46,46,0,1f,6c
47,47,0,07,9b
48,48,0,c1,26
49,49,0,f0,c9
50,50,0,7c,b2
51,51,0,1f,6c
52,52,0,07,9b
53,53,0,c1,26
54,54,0,f0,c9
55,55,0,7c,b2
56,56,0,1f,6c
57,57,0,07,9b
58,58,0,c1,26
59,59,0,f0,c9
60,60,0,7c,b2
61,61,0,1f,6c
62,62,0,07,9b
63,63,0,c1,26
64,64,0,f0,c9
65,65,0,7c,b2
66,66,0,1f,6c
67,67,0,07,9b
68,68,0,c1,26
69,69,0,f0,c9
70,70,0,7c,b2
71,71,0,1f,6c
72,72,0,07,9b
73,73,0,c1,26
74,74,0,f0,c9
75,75,0,7c,b2
76,76,0,1f,6c
77,77,0,07,9b
78,78,0,c1,26
79,79,0,f0,c9
80,80,0,7c,b2
81,81,0,1f,6c
82,82,0,07,9b
83,83,0,c1,26
84,84,0,f0,c9
85,85,0,7c,b2
86,86,0,1f,6c
87,87,0,07,9b
88,88,0,c1,26
89,89,0,f0,c9
90,90,0,7c,b2
91,91,0,1f,6c
92,92,0,07,9b
93,93,0,c1,26
94,94,0,f0,c9
95,95,0,7c,b2
96,96,0,1f,6c
97,97,0,07,9b
98,98,0,c1,26
99,99,0,f0,c9
100,100,0,7c,b2
101,101,0,1f,6c
102,102,0,07,9b
103,103,0,c1,26
104,104,0,f0,c9
105,105,0,7c,b2
106,106,0,1f,6c
107,107,0,07,9b
108,108,0,c1,26
109,109,0,f0,c9
110,110,0,7c,b2
111,111,0,1f,6c
112,112,0,07,9b
113,113,0,c1,26
114,114,0,f0,c9
115,115,0,7c,b2
116,116,0,1f,6c
117,117,0,07,9b
118,118,0,c1,26
119,119,0,f0,c9
120,120,0,7c,b2
121,121,0,1f,6c
122,122,0,07,9b
123,123,0,c1,26
124,124,0,f0,c9
125,125,0,7c,b2
126,126,0,1f,6c
127,127,0,07,9b
128,128,0,c1,26
129,129,0,f0,c9
130,130,0,7c,b2
131,131,0,1f,6c
132,132,0,07,9b
133,133,0,c1,26
134,134,0,f0,c9
135,135,0,7c,b2
136,136,0,1f,6c
137,137,0,07,9b
138,138,0,c1,26
139,139,0,f0,c9
140,140,0,7c,b2
141,141,0,1f,6c
142,142,0,07,9b
143,143,0,c1,26
144,144,0,f0,c9
145,145,0,7c,b2
146,146,0,1f,6c
147,147,0,07,9b
148,148,0,c1,26
149,149,0,f0,c9
150,150,0,7c,b2
151,151,0,1f,6c
152,152,0,07,9b
153,153,0,c1,26
154,154,0,f0,c9
155,155,0,7c,b2
156,156,0,1f,6c
157,157,0,07,9b
158,158,0,c1,26
159,159,0,f0,c9
160,160,0,7c,b2
161,161,0,1f,6c
162,162,0,07,9b
163,163,0,c1,26
164,164,0,f0,c9
165,165,0,7c,b2
166,166,0,1f,6c
167,167,0,07,9b
168,168,0,c1,26
169,169,0,f0,c9
170,170,0,7c,b2
171,171,0,1f,6c
172,172,0,07,9b
173,173,0,c1,26
174,174,0,f0,c9
175,175,0,7c,b2
176,176,0,1f,6c
177,177,0,07,9b
178,178,0,c1,26
179,179,0,f0,c9
180,180,0,7c,b2
181,181,0,1f,6c
182,182,0,07,9b
183,183,0,c1,26
184,184,0,f0,c9
185,185,0,7c,b2
186,186,0,1f,6c
187,187,0,07,9b
188,188,0,c1,26
189,189,0,f0,c9
190,190,0,7c,b2
191,191,0,1f,6c
192,192,0,07,9b
193,193,0,c1,26
194,194,0,f0,c9
195,195,0,7c,b2
196,196,0,1f,6c
197,197,0,07,9b
198,198,0,c1,26
199,199,0,f0,c9
200,200,0,7c,b2
201,201,0,1f,6c
202,202,0,07,9b
203,203,0,c1,26
204,204,0,f0,c9
205,205,0,7c,b2
206,206,0,1f,6c
207,207,0,07,9b
208,208,0,c1,26
209,209,0,f0,c9
210,210,0,7c,b2
211,211,0,1f,6c
212,212,0,07,9b
213,213,0,c1,26
214,214,0,f0,c9
215,215,0,7c,b2
216,216,0,1f,6c
217,217,0,07,9b
218,218,0,c1,26
219,219,0,f0,c9
220,220,0,7c,b2
221,221,0,1f,6c
222,222,0,07,9b
223,223,0,c1,26
224,224,0,f0,c9
225,225,0,7c,b2
226,226,0,1f,6c
227,227,0,07,9b
228,228,0,c1,26
229,229,0,f0,c9
230,230,0,7c,b2
231,231,0,1f,6c
232,232,0,07,9b
233,233,0,c1,26
234,234,0,f0,c9
235,235,0,7c,b2
236,236,0,1f,6c
237,237,0,07,9b
238,238,0,c1,26
239,239,0,f0,c9
240,240,0,7c,b2
241,241,0,1f,6c
242,242,0,07,9b
243,243,0,c1,26
244,244,0,f0,c9
245,245,0,7c,b2
246,246,0,1f,6c
247,247,0,07,9b
248,248,0,c1,26
249,249,0,f0,c9
250,250,0,7c,b2
251,251,0,1f,6c
