tdc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0,0.0887626,0,0.0591751,54.7961,0.0591751,0.0295875,0,0,0.0295875,0.0295875,0,0.0591751,0,0,0,0,0.0887626,0,0.147938,0.0295875,0.0887626,0.0295875,0.0295875,0,
1,0,0,0.0887626,0,0,0.0295875,0,0.0295875,0,0,0,0,0,0,0,0,0.0295875,0,0.0295875,0,0.0591751,0,0,0,
2,0.384638,0,0.11835,0.0295875,0,0,0,0.0295875,0.0591751,0.0591751,0,0,0.0591751,0.0591751,0.0887626,0,0,0,0,0,0.0295875,0,0,0,
3,0.0295875,0,0,533.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0.591751,0.325463,0.207113,0.0295875,0,0.0591751,0,0,0,0,0,0.0295875,0,0,0.0295875,0.0295875,0.0887626,0.0295875,0.0295875,0.0295875,0.0295875,0.0591751,0.0295875,0,
5,0.0295875,0,0,0.0295875,0,0,0,0,0,0.0295875,0.0591751,0,0,0,0,0.0295875,0.0295875,0,0,0,0,0.11835,0,0,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
